        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
        249.779	               0.000	             -10.500	                -nan	                -nan	   -70000.0000000000	   -70000.0000000000
