#  r (mm)    th (deg)      z (mm)                   B (T)                   dB (T)                B (ppm)                 dB (ppm) 
    100.000    0         -100.000	        1.4503999073	        0.0000000084	      149.4331757386	        0.0058209399
    100.000    90        -100.000	        1.4503984273	        0.0000000059	      148.4125968140	        0.0040709898
    100.000    180       -100.000	        1.4503998391	        0.0000000081	      149.3861570977	        0.0056058885
    100.000    270       -100.000	        1.4504003923	        0.0000000048	      149.7676118951	        0.0033270933
    100.000    0         -80.000	        1.4503999192	        0.0000000049	      149.4414116164	        0.0033643889
    100.000    90        -80.000	        1.4503985363	        0.0000000071	      148.4877611200	        0.0048881426
    100.000    180       -80.000	        1.4503997252	        0.0000000040	      149.3076493902	        0.0027918956
    100.000    270       -80.000	        1.4504003118	        0.0000000036	      149.7121489484	        0.0024985888
    100.000    0         -60.000	        1.4503999074	        0.0000000110	      149.4332807166	        0.0075924217
    100.000    90        -60.000	        1.4503986327	        0.0000000057	      148.5542380080	        0.0039576624
    100.000    180       -60.000	        1.4503995759	        0.0000000082	      149.2046845974	        0.0056650644
    100.000    270       -60.000	        1.4504002305	        0.0000000099	      149.6560375510	        0.0068525451
    100.000    0         -40.000	        1.4503999448	        0.0000000060	      149.4590516943	        0.0041443602
    100.000    90        -40.000	        1.4503987764	        0.0000000059	      148.6533833134	        0.0040491880
    100.000    180       -40.000	        1.4503994881	        0.0000000041	      149.1441019682	        0.0028362926
    100.000    270       -40.000	        1.4504001795	        0.0000000031	      149.6208786627	        0.0021521323
    100.000    0         -20.000	        1.4503999875	        0.0000000110	      149.4885097069	        0.0075906107
    100.000    90        -20.000	        1.4503988994	        0.0000000052	      148.7381389110	        0.0035644418
    100.000    180       -20.000	        1.4503994065	        0.0000000066	      149.0878303996	        0.0045360642
    100.000    270       -20.000	        1.4504001000	        0.0000000041	      149.5660918930	        0.0028370809
    100.000    0           0.000	        1.4503999896	        0.0000000078	      149.4899135580	        0.0053758154
    100.000    90          0.000	        1.4503990005	        0.0000000046	      148.8078718338	        0.0031821516
    100.000    180         0.000	        1.4503993046	        0.0000000059	      149.0176128839	        0.0040565576
    100.000    270         0.000	        1.4504000233	        0.0000000043	      149.5131488865	        0.0029313269
    100.000    0          20.000	        1.4503999784	        0.0000000074	      149.4821817870	        0.0050700710
    100.000    90         20.000	        1.4503990624	        0.0000000062	      148.8505906949	        0.0042784131
    100.000    180        20.000	        1.4503992058	        0.0000000045	      148.9494204915	        0.0031164146
    100.000    270        20.000	        1.4503999223	        0.0000000040	      149.4435441357	        0.0027672645
    100.000    0          40.000	        1.4503999225	        0.0000000051	      149.4436484156	        0.0035222442
    100.000    90         40.000	        1.4503990529	        0.0000000060	      148.8439956512	        0.0041555599
    100.000    180        40.000	        1.4503990658	        0.0000000034	      148.8528817260	        0.0023126784
    100.000    270        40.000	        1.4503997557	        0.0000000050	      149.3286366366	        0.0034801175
    100.000    0          60.000	        1.4503998076	        0.0000000061	      149.3644340964	        0.0042027931
    100.000    90         60.000	        1.4503990066	        0.0000000065	      148.8120772132	        0.0044842458
    100.000    180        60.000	        1.4503988424	        0.0000000056	      148.6988738544	        0.0038330738
    100.000    270        60.000	        1.4503995160	        0.0000000116	      149.1633767653	        0.0080092354
    100.000    0          80.000            1.4503996641	        0.0000000080	      149.2654957132	        0.0055483683
    100.000    90         80.000            1.4503989076	        0.0000000040	      148.7438182770	        0.0027245478
    100.000    180        80.000            1.4503986760	        0.0000000074	      148.5841088826	        0.0050727204
    100.000    270        80.000            1.4503992760	        0.0000000071	      148.9978729509	        0.0048974508
    100.000    0         100.000	        1.4503994543	        0.0000000048	      149.1208191631	        0.0032895483
    100.000    90        100.000	        1.4503986548	        0.0000000055	      148.5695204690	        0.0037919188
    100.000    180       100.000	        1.4503983606	        0.0000000027	      148.3666135610	        0.0018575209
    100.000    270       100.000	        1.4503989070	        0.0000000028	      148.7433807670	        0.0019504387

