# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000041 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000220 	            0.0000179 	        27976.3309820 
3 	      1.000 	            0.0000399 	            0.0000179 	        27951.6757691 
4 	      1.500 	            0.0000578 	            0.0000179 	        27950.4779909 
5 	      2.000 	            0.0000757 	            0.0000179 	        27945.7642072 
6 	      2.500 	            0.0000936 	            0.0000179 	        27936.8595085 
7 	      3.000 	            0.0001115 	            0.0000179 	        27931.8589930 
8 	      3.500 	            0.0001294 	            0.0000179 	        27935.6226438 
9 	      4.000 	            0.0001473 	            0.0000179 	        27927.5242809 
10 	      4.500 	            0.0001652 	            0.0000179 	        27933.9457145 
11 	      5.000 	            0.0001831 	            0.0000179 	        27928.9599788 
12 	      5.500 	            0.0002010 	            0.0000179 	        27933.5993336 
13 	      6.000 	            0.0002189 	            0.0000179 	        27931.6151511 
14 	      6.500 	            0.0002368 	            0.0000179 	        27932.3839271 
15 	      7.000 	            0.0002547 	            0.0000179 	        27929.7552529 
16 	      7.500 	            0.0002726 	            0.0000179 	        27931.6193583 
17 	      8.000 	            0.0002905 	            0.0000179 	        27929.6359452 
18 	      8.500 	            0.0003084 	            0.0000179 	        27929.4952988 
19 	      9.000 	            0.0003263 	            0.0000179 	        27930.3782878 
20 	      9.500 	            0.0003442 	            0.0000179 	        27929.7303318 
21 	     10.000 	            0.0003621 	            0.0000179 	        27928.2864458 
22 	     10.500 	            0.0003801 	            0.0000179 	        27927.5676183 
23 	     11.000 	            0.0003980 	            0.0000179 	        27927.8426045 
24 	     11.500 	            0.0004158 	            0.0000179 	        27929.4352317 
25 	     12.000 	            0.0004338 	            0.0000179 	        27927.6417088 
26 	     12.500 	            0.0004517 	            0.0000179 	        27928.2645489 
27 	     13.000 	            0.0004696 	            0.0000179 	        27926.8155855 
28 	     13.500 	            0.0004875 	            0.0000179 	        27927.4718810 
29 	     14.000 	            0.0005054 	            0.0000179 	        27927.6997171 
30 	     14.500 	            0.0005233 	            0.0000179 	        27927.7309172 
31 	     15.000 	            0.0005412 	            0.0000179 	        27927.0898248 
32 	     15.500 	            0.0005591 	            0.0000179 	        27928.1931805 
33 	     16.000 	            0.0005770 	            0.0000179 	        27926.8582001 
34 	     16.500 	            0.0005949 	            0.0000179 	        27927.3751489 
35 	     17.000 	            0.0006128 	            0.0000179 	        27926.7358910 
36 	     17.500 	            0.0006307 	            0.0000179 	        27927.7048238 
37 	     18.000 	            0.0006486 	            0.0000179 	        27926.8052314 
38 	     18.500 	            0.0006665 	            0.0000179 	        27926.7713594 
39 	     19.000 	            0.0006844 	            0.0000179 	        27926.6769581 
40 	     19.500 	            0.0007023 	            0.0000179 	        27927.0481962 
41 	     20.000 	            0.0007203 	            0.0000179 	        27926.2646341 
42 	     20.500 	            0.0007381 	            0.0000179 	        27926.9551103 
43 	     21.000 	            0.0007561 	            0.0000179 	        27926.1998337 
44 	     21.500 	            0.0007740 	            0.0000179 	        27926.5935984 
45 	     22.000 	            0.0007919 	            0.0000179 	        27926.3050938 
46 	     22.500 	            0.0008098 	            0.0000179 	        27926.4195872 
47 	     23.000 	            0.0008277 	            0.0000179 	        27926.3319064 
48 	     23.500 	            0.0008456 	            0.0000179 	        27926.8941337 
49 	     24.000 	            0.0008635 	            0.0000179 	        27926.3048289 
50 	     24.500 	            0.0008814 	            0.0000179 	        27926.6468326 
51 	     25.000 	            0.0008993 	            0.0000179 	        27926.5829756 
52 	     25.500 	            0.0009172 	            0.0000179 	        27926.4975815 
53 	     26.000 	            0.0009351 	            0.0000179 	        27925.9811864 
54 	     26.500 	            0.0009530 	            0.0000179 	        27926.1663007 
55 	     27.000 	            0.0009710 	            0.0000179 	        27925.2134272 
56 	     27.500 	            0.0009888 	            0.0000179 	        27925.6440731 
57 	     28.000 	            0.0010067 	            0.0000179 	        27925.9985173 
58 	     28.500 	            0.0010247 	            0.0000179 	        27925.8325894 
59 	     29.000 	            0.0010426 	            0.0000179 	        27925.4831867 
60 	     29.500 	            0.0010605 	            0.0000179 	        27925.9907670 
61 	     30.000 	            0.0010784 	            0.0000179 	        27925.6624934 
62 	     30.500 	            0.0010963 	            0.0000179 	        27925.3226005 
63 	     31.000 	            0.0011142 	            0.0000179 	        27925.7892239 
64 	     31.500 	            0.0011321 	            0.0000179 	        27926.0272272 
65 	     32.000 	            0.0011500 	            0.0000179 	        27925.6062916 
66 	     32.500 	            0.0011679 	            0.0000179 	        27925.7566186 
67 	     33.000 	            0.0011858 	            0.0000179 	        27925.1753508 
68 	     33.500 	            0.0012037 	            0.0000179 	        27925.4455976 
69 	     34.000 	            0.0012216 	            0.0000179 	        27925.4393081 
70 	     34.500 	            0.0012395 	            0.0000179 	        27925.6914665 
71 	     35.000 	            0.0012574 	            0.0000179 	        27925.5154644 
72 	     35.500 	            0.0012753 	            0.0000179 	        27925.3401672 
73 	     36.000 	            0.0012933 	            0.0000179 	        27924.9688467 
74 	     36.500 	            0.0013112 	            0.0000179 	        27925.1698065 
75 	     37.000 	            0.0013291 	            0.0000179 	        27924.7175000 
76 	     37.500 	            0.0013470 	            0.0000179 	        27925.0722017 
77 	     38.000 	            0.0013649 	            0.0000179 	        27925.1266701 
78 	     38.500 	            0.0013828 	            0.0000179 	        27924.7752106 
79 	     39.000 	            0.0014007 	            0.0000179 	        27924.7475465 
