# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000030 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000210 	            0.0000179 	        27889.8590230 
3 	      1.000 	            0.0000388 	            0.0000179 	        27929.0326152 
4 	      1.500 	            0.0000567 	            0.0000179 	        27938.7512057 
5 	      2.000 	            0.0000746 	            0.0000179 	        27923.5363954 
6 	      2.500 	            0.0000926 	            0.0000179 	        27922.2490060 
7 	      3.000 	            0.0001105 	            0.0000179 	        27921.8183421 
8 	      3.500 	            0.0001283 	            0.0000179 	        27930.9636071 
9 	      4.000 	            0.0001463 	            0.0000179 	        27927.5259452 
10 	      4.500 	            0.0001641 	            0.0000179 	        27932.1149269 
11 	      5.000 	            0.0001821 	            0.0000180 	        27923.3383158 
12 	      5.500 	            0.0002000 	            0.0000179 	        27929.0055367 
13 	      6.000 	            0.0002179 	            0.0000179 	        27927.6507494 
14 	      6.500 	            0.0002358 	            0.0000179 	        27927.1775401 
15 	      7.000 	            0.0002537 	            0.0000179 	        27926.9139437 
16 	      7.500 	            0.0002716 	            0.0000179 	        27928.1468480 
17 	      8.000 	            0.0002895 	            0.0000179 	        27927.2427997 
18 	      8.500 	            0.0003074 	            0.0000179 	        27927.8365122 
19 	      9.000 	            0.0003253 	            0.0000179 	        27925.5355192 
20 	      9.500 	            0.0003432 	            0.0000179 	        27925.2806255 
21 	     10.000 	            0.0003611 	            0.0000179 	        27926.6622006 
22 	     10.500 	            0.0003790 	            0.0000179 	        27927.4550148 
23 	     11.000 	            0.0003969 	            0.0000179 	        27925.5168889 
24 	     11.500 	            0.0004148 	            0.0000179 	        27926.1655690 
25 	     12.000 	            0.0004327 	            0.0000179 	        27927.0655579 
26 	     12.500 	            0.0004506 	            0.0000179 	        27927.7469475 
27 	     13.000 	            0.0004685 	            0.0000179 	        27925.8895455 
28 	     13.500 	            0.0004864 	            0.0000179 	        27925.7377996 
29 	     14.000 	            0.0005043 	            0.0000179 	        27927.2161430 
30 	     14.500 	            0.0005223 	            0.0000179 	        27925.4073323 
31 	     15.000 	            0.0005402 	            0.0000179 	        27925.6036950 
32 	     15.500 	            0.0005581 	            0.0000179 	        27926.0510179 
33 	     16.000 	            0.0005760 	            0.0000179 	        27926.2406145 
34 	     16.500 	            0.0005939 	            0.0000179 	        27925.6216267 
35 	     17.000 	            0.0006118 	            0.0000179 	        27926.1620040 
36 	     17.500 	            0.0006297 	            0.0000179 	        27925.8286723 
37 	     18.000 	            0.0006476 	            0.0000179 	        27925.8825783 
38 	     18.500 	            0.0006655 	            0.0000179 	        27926.0293690 
39 	     19.000 	            0.0006834 	            0.0000179 	        27926.0806573 
40 	     19.500 	            0.0007013 	            0.0000179 	        27926.3983560 
41 	     20.000 	            0.0007192 	            0.0000179 	        27925.5818559 
42 	     20.500 	            0.0007371 	            0.0000179 	        27926.1067510 
43 	     21.000 	            0.0007550 	            0.0000179 	        27925.4517008 
44 	     21.500 	            0.0007729 	            0.0000179 	        27925.4405789 
45 	     22.000 	            0.0007909 	            0.0000179 	        27924.9182124 
46 	     22.500 	            0.0008087 	            0.0000179 	        27926.3154699 
47 	     23.000 	            0.0008266 	            0.0000179 	        27925.3248916 
48 	     23.500 	            0.0008446 	            0.0000179 	        27924.6912072 
49 	     24.000 	            0.0008625 	            0.0000179 	        27925.5364567 
50 	     24.500 	            0.0008803 	            0.0000179 	        27926.0187121 
51 	     25.000 	            0.0008983 	            0.0000179 	        27924.6989390 
