# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000135 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000314 	            0.0000179 	        27964.2833558 
3 	      1.000 	            0.0000493 	            0.0000179 	        27934.2360407 
4 	      1.500 	            0.0000672 	            0.0000179 	        27930.0728468 
5 	      2.000 	            0.0000852 	            0.0000179 	        27920.8778317 
6 	      2.500 	            0.0001030 	            0.0000179 	        27932.0857903 
7 	      3.000 	            0.0001209 	            0.0000179 	        27930.6410126 
8 	      3.500 	            0.0001388 	            0.0000179 	        27931.9970244 
9 	      4.000 	            0.0001567 	            0.0000179 	        27928.4534230 
10 	      4.500 	            0.0001746 	            0.0000179 	        27930.8437723 
11 	      5.000 	            0.0001925 	            0.0000179 	        27929.6248523 
12 	      5.500 	            0.0002105 	            0.0000179 	        27927.5220655 
13 	      6.000 	            0.0002284 	            0.0000179 	        27927.7320890 
14 	      6.500 	            0.0002462 	            0.0000179 	        27931.3206806 
15 	      7.000 	            0.0002642 	            0.0000179 	        27926.8774959 
16 	      7.500 	            0.0002821 	            0.0000179 	        27927.7172450 
17 	      8.000 	            0.0003000 	            0.0000179 	        27927.6851994 
18 	      8.500 	            0.0003179 	            0.0000179 	        27926.9758598 
19 	      9.000 	            0.0003358 	            0.0000179 	        27928.3104583 
20 	      9.500 	            0.0003537 	            0.0000179 	        27928.9689207 
21 	     10.000 	            0.0003716 	            0.0000179 	        27926.9363678 
22 	     10.500 	            0.0003895 	            0.0000179 	        27930.4138767 
23 	     11.000 	            0.0004074 	            0.0000180 	        27925.5755897 
24 	     11.500 	            0.0004253 	            0.0000179 	        27927.2407488 
25 	     12.000 	            0.0004432 	            0.0000179 	        27926.0707449 
26 	     12.500 	            0.0004611 	            0.0000179 	        27926.5244668 
27 	     13.000 	            0.0004790 	            0.0000179 	        27925.1279998 
28 	     13.500 	            0.0004969 	            0.0000179 	        27927.6428305 
29 	     14.000 	            0.0005148 	            0.0000179 	        27927.2249388 
30 	     14.500 	            0.0005327 	            0.0000179 	        27927.9179914 
31 	     15.000 	            0.0005507 	            0.0000179 	        27926.0622736 
32 	     15.500 	            0.0005686 	            0.0000179 	        27926.3679404 
33 	     16.000 	            0.0005865 	            0.0000179 	        27926.0978791 
34 	     16.500 	            0.0006044 	            0.0000179 	        27926.3548041 
35 	     17.000 	            0.0006223 	            0.0000179 	        27926.8240942 
36 	     17.500 	            0.0006402 	            0.0000179 	        27926.8277647 
37 	     18.000 	            0.0006581 	            0.0000179 	        27926.0514982 
38 	     18.500 	            0.0006760 	            0.0000179 	        27926.1933409 
39 	     19.000 	            0.0006939 	            0.0000179 	        27926.2141453 
40 	     19.500 	            0.0007118 	            0.0000179 	        27926.5866398 
41 	     20.000 	            0.0007297 	            0.0000179 	        27927.1808248 
42 	     20.500 	            0.0007476 	            0.0000179 	        27926.9077663 
43 	     21.000 	            0.0007655 	            0.0000179 	        27926.0927526 
44 	     21.500 	            0.0007834 	            0.0000179 	        27925.8525650 
45 	     22.000 	            0.0008013 	            0.0000179 	        27925.7757813 
46 	     22.500 	            0.0008192 	            0.0000179 	        27926.0003625 
47 	     23.000 	            0.0008372 	            0.0000179 	        27924.9803783 
48 	     23.500 	            0.0008550 	            0.0000179 	        27926.1343784 
49 	     24.000 	            0.0008729 	            0.0000179 	        27925.8561501 
50 	     24.500 	            0.0008908 	            0.0000179 	        27926.1440138 
51 	     25.000 	            0.0009088 	            0.0000179 	        27925.7301565 
52 	     25.500 	            0.0009266 	            0.0000179 	        27926.3923139 
53 	     26.000 	            0.0009446 	            0.0000179 	        27925.8955485 
54 	     26.500 	            0.0009625 	            0.0000179 	        27926.0367666 
55 	     27.000 	            0.0009804 	            0.0000179 	        27925.6998790 
56 	     27.500 	            0.0009983 	            0.0000179 	        27926.0531229 
57 	     28.000 	            0.0010162 	            0.0000179 	        27924.8687575 
58 	     28.500 	            0.0010341 	            0.0000179 	        27925.4275547 
59 	     29.000 	            0.0010520 	            0.0000179 	        27924.8236187 
60 	     29.500 	            0.0010699 	            0.0000179 	        27925.8528055 
61 	     30.000 	            0.0010878 	            0.0000179 	        27925.4032249 
62 	     30.500 	            0.0011057 	            0.0000179 	        27925.6113563 
63 	     31.000 	            0.0011237 	            0.0000179 	        27924.5762712 
64 	     31.500 	            0.0011415 	            0.0000179 	        27925.4578322 
65 	     32.000 	            0.0011594 	            0.0000179 	        27925.8832915 
66 	     32.500 	            0.0011773 	            0.0000179 	        27925.6859294 
67 	     33.000 	            0.0011952 	            0.0000179 	        27925.2587119 
68 	     33.500 	            0.0012131 	            0.0000179 	        27926.0232363 
69 	     34.000 	            0.0012311 	            0.0000180 	        27924.6956897 
70 	     34.500 	            0.0012489 	            0.0000179 	        27925.5416977 
71 	     35.000 	            0.0012669 	            0.0000179 	        27924.7391760 
72 	     35.500 	            0.0012847 	            0.0000178 	        27926.1514940 
73 	     36.000 	            0.0013027 	            0.0000179 	        27925.4526792 
74 	     36.500 	            0.0013206 	            0.0000179 	        27925.4703633 
75 	     37.000 	            0.0013385 	            0.0000179 	        27925.2981588 
76 	     37.500 	            0.0013564 	            0.0000179 	        27924.9383083 
77 	     38.000 	            0.0013743 	            0.0000179 	        27925.4924213 
78 	     38.500 	            0.0013922 	            0.0000180 	        27924.3554744 
79 	     39.000 	            0.0014102 	            0.0000179 	        27924.0866615 
80 	     39.500 	            0.0014280 	            0.0000179 	        27924.8988771 
81 	     40.000 	            0.0014459 	            0.0000179 	        27924.9348166 
82 	     40.500 	            0.0014638 	            0.0000179 	        27925.0066781 
83 	     41.000 	            0.0014818 	            0.0000179 	        27924.6105015 
84 	     41.500 	            0.0014997 	            0.0000179 	        27924.6458667 
85 	     42.000 	            0.0015176 	            0.0000179 	        27924.6946094 
86 	     42.500 	            0.0015355 	            0.0000179 	        27924.8187875 
87 	     43.000 	            0.0015534 	            0.0000179 	        27924.6623381 
88 	     43.500 	            0.0015713 	            0.0000179 	        27924.4540596 
89 	     44.000 	            0.0015892 	            0.0000179 	        27924.9147799 
90 	     44.500 	            0.0016071 	            0.0000179 	        27924.9099565 
91 	     45.000 	            0.0016250 	            0.0000179 	        27924.6376298 
92 	     45.500 	            0.0016429 	            0.0000179 	        27924.8278775 
93 	     46.000 	            0.0016608 	            0.0000179 	        27924.6257713 
94 	     46.500 	            0.0016787 	            0.0000179 	        27924.3239639 
95 	     47.000 	            0.0016967 	            0.0000179 	        27924.0352283 
96 	     47.500 	            0.0017145 	            0.0000179 	        27924.6181086 
97 	     48.000 	            0.0017324 	            0.0000179 	        27924.9928593 
98 	     48.500 	            0.0017503 	            0.0000179 	        27924.4450156 
99 	     49.000 	            0.0017682 	            0.0000179 	        27924.6118197 
100 	     49.500 	            0.0017861 	            0.0000179 	        27925.0598193 
101 	     50.000 	            0.0018041 	            0.0000179 	        27924.6573479 
102 	     50.500 	            0.0018220 	            0.0000179 	        27924.5554940 
103 	     51.000 	            0.0018399 	            0.0000179 	        27924.8228868 
104 	     51.500 	            0.0018578 	            0.0000179 	        27924.6946524 
105 	     52.000 	            0.0018757 	            0.0000180 	        27923.9636554 
106 	     52.500 	            0.0018936 	            0.0000179 	        27924.6072570 
107 	     53.000 	            0.0019115 	            0.0000179 	        27924.9893264 
108 	     53.500 	            0.0019294 	            0.0000180 	        27924.2149328 
109 	     54.000 	            0.0019473 	            0.0000179 	        27924.8238193 
110 	     54.500 	            0.0019652 	            0.0000179 	        27924.8494212 
111 	     55.000 	            0.0019831 	            0.0000180 	        27924.0434192 
112 	     55.500 	            0.0020010 	            0.0000179 	        27924.7895903 
113 	     56.000 	            0.0020189 	            0.0000179 	        27924.6392778 
114 	     56.500 	            0.0020368 	            0.0000179 	        27924.5262567 
115 	     57.000 	            0.0020547 	            0.0000179 	        27924.3895712 
116 	     57.500 	            0.0020726 	            0.0000178 	        27925.1443606 
117 	     58.000 	            0.0020905 	            0.0000179 	        27924.5753502 
118 	     58.500 	            0.0021084 	            0.0000179 	        27924.7639060 
119 	     59.000 	            0.0021264 	            0.0000179 	        27924.5574811 
120 	     59.500 	            0.0021442 	            0.0000179 	        27924.8394366 
121 	     60.000 	            0.0021622 	            0.0000179 	        27924.4895564 
122 	     60.500 	            0.0021801 	            0.0000179 	        27924.6959838 
123 	     61.000 	            0.0021980 	            0.0000179 	        27924.7709087 
124 	     61.500 	            0.0022159 	            0.0000179 	        27924.6901647 
125 	     62.000 	            0.0022338 	            0.0000179 	        27924.5350406 
126 	     62.500 	            0.0022517 	            0.0000179 	        27924.5167232 
127 	     63.000 	            0.0022696 	            0.0000179 	        27924.9830656 
128 	     63.500 	            0.0022875 	            0.0000179 	        27924.6837741 
129 	     64.000 	            0.0023054 	            0.0000179 	        27924.7631043 
130 	     64.500 	            0.0023233 	            0.0000179 	        27925.0217187 
131 	     65.000 	            0.0023412 	            0.0000179 	        27924.9753295 
132 	     65.500 	            0.0023591 	            0.0000179 	        27925.1136688 
133 	     66.000 	            0.0023770 	            0.0000180 	        27924.5016545 
134 	     66.500 	            0.0023949 	            0.0000179 	        27924.9669521 
