# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000175 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000355 	            0.0000180 	        27777.7777778 
3 	      1.000 	            0.0000534 	            0.0000179 	        27855.1532033 
4 	      1.500 	            0.0000713 	            0.0000179 	        27881.0408922 
5 	      2.000 	            0.0000893 	            0.0000179 	        27894.0027894 
6 	      2.500 	            0.0001072 	            0.0000179 	        27901.7857143 
7 	      3.000 	            0.0001251 	            0.0000179 	        27906.9767442 
8 	      3.500 	            0.0001430 	            0.0000179 	        27910.6858054 
9 	      4.000 	            0.0001609 	            0.0000179 	        27913.4682484 
10 	      4.500 	            0.0001788 	            0.0000179 	        27915.6327543 
11 	      5.000 	            0.0001967 	            0.0000179 	        27917.3646008 
12 	      5.500 	            0.0002146 	            0.0000179 	        27918.7817259 
13 	      6.000 	            0.0002325 	            0.0000179 	        27919.9627734 
14 	      6.500 	            0.0002503 	            0.0000179 	        27920.9621993 
15 	      7.000 	            0.0002683 	            0.0000179 	        27921.8189071 
16 	      7.500 	            0.0002861 	            0.0000179 	        27922.5614296 
17 	      8.000 	            0.0003041 	            0.0000179 	        27923.2111693 
18 	      8.500 	            0.0003219 	            0.0000179 	        27923.7844941 
19 	      9.000 	            0.0003399 	            0.0000179 	        27924.2941359 
20 	      9.500 	            0.0003577 	            0.0000179 	        27924.7501470 
21 	     10.000 	            0.0003757 	            0.0000179 	        27925.1605697 
22 	     10.500 	            0.0003937 	            0.0000180 	        27918.1068865 
23 	     11.000 	            0.0004116 	            0.0000179 	        27918.7817259 
24 	     11.500 	            0.0004294 	            0.0000179 	        27919.3979121 
25 	     12.000 	            0.0004474 	            0.0000179 	        27919.9627734 
26 	     12.500 	            0.0004652 	            0.0000179 	        27920.4824659 
27 	     13.000 	            0.0004832 	            0.0000179 	        27920.9621993 
28 	     13.500 	            0.0005011 	            0.0000179 	        27921.4064116 
29 	     14.000 	            0.0005190 	            0.0000179 	        27921.8189071 
30 	     14.500 	            0.0005368 	            0.0000179 	        27922.2029655 
31 	     15.000 	            0.0005548 	            0.0000179 	        27922.5614296 
32 	     15.500 	            0.0005727 	            0.0000179 	        27922.8967754 
33 	     16.000 	            0.0005906 	            0.0000179 	        27923.2111693 
34 	     16.500 	            0.0006084 	            0.0000179 	        27923.5065155 
35 	     17.000 	            0.0006264 	            0.0000179 	        27923.7844941 
36 	     17.500 	            0.0006443 	            0.0000179 	        27924.0465933 
37 	     18.000 	            0.0006622 	            0.0000179 	        27924.2941359 
38 	     18.500 	            0.0006800 	            0.0000179 	        27924.5283019 
39 	     19.000 	            0.0006980 	            0.0000179 	        27924.7501470 
40 	     19.500 	            0.0007159 	            0.0000180 	        27920.9621993 
41 	     20.000 	            0.0007338 	            0.0000178 	        27925.1605697 
42 	     20.500 	            0.0007518 	            0.0000180 	        27921.5472623 
43 	     21.000 	            0.0007696 	            0.0000179 	        27921.8189071 
44 	     21.500 	            0.0007875 	            0.0000179 	        27922.0779221 
45 	     22.000 	            0.0008054 	            0.0000179 	        27922.3251682 
46 	     22.500 	            0.0008234 	            0.0000179 	        27922.5614296 
47 	     23.000 	            0.0008412 	            0.0000179 	        27922.7874226 
48 	     23.500 	            0.0008591 	            0.0000179 	        27923.0038023 
49 	     24.000 	            0.0008770 	            0.0000179 	        27923.2111693 
50 	     24.500 	            0.0008950 	            0.0000179 	        27923.4100752 
51 	     25.000 	            0.0009128 	            0.0000179 	        27923.6010276 
52 	     25.500 	            0.0009307 	            0.0000179 	        27923.7844941 
53 	     26.000 	            0.0009486 	            0.0000179 	        27923.9609065 
54 	     26.500 	            0.0009666 	            0.0000179 	        27924.1306639 
55 	     27.000 	            0.0009844 	            0.0000179 	        27924.2941359 
56 	     27.500 	            0.0010024 	            0.0000180 	        27921.6164078 
57 	     28.000 	            0.0010204 	            0.0000179 	        27921.8189071 
58 	     28.500 	            0.0010383 	            0.0000179 	        27922.0143039 
59 	     29.000 	            0.0010562 	            0.0000179 	        27922.2029655 
60 	     29.500 	            0.0010741 	            0.0000179 	        27922.3852343 
61 	     30.000 	            0.0010919 	            0.0000179 	        27922.5614296 
62 	     30.500 	            0.0011098 	            0.0000179 	        27922.7318502 
63 	     31.000 	            0.0011277 	            0.0000179 	        27922.8967754 
64 	     31.500 	            0.0011457 	            0.0000179 	        27923.0564666 
65 	     32.000 	            0.0011636 	            0.0000179 	        27923.2111693 
66 	     32.500 	            0.0011815 	            0.0000179 	        27923.3611135 
67 	     33.000 	            0.0011994 	            0.0000179 	        27923.5065155 
68 	     33.500 	            0.0012173 	            0.0000179 	        27923.6475786 
69 	     34.000 	            0.0012351 	            0.0000179 	        27923.7844941 
70 	     34.500 	            0.0012530 	            0.0000179 	        27923.9174423 
71 	     35.000 	            0.0012709 	            0.0000179 	        27924.0465933 
72 	     35.500 	            0.0012889 	            0.0000179 	        27924.1721073 
73 	     36.000 	            0.0013068 	            0.0000179 	        27924.2941359 
74 	     36.500 	            0.0013247 	            0.0000180 	        27922.2766218 
75 	     37.000 	            0.0013426 	            0.0000179 	        27922.4209494 
76 	     37.500 	            0.0013605 	            0.0000179 	        27922.5614296 
77 	     38.000 	            0.0013784 	            0.0000179 	        27922.6982144 
78 	     38.500 	            0.0013963 	            0.0000179 	        27922.8314476 
79 	     39.000 	            0.0014143 	            0.0000179 	        27922.9612658 
80 	     39.500 	            0.0014322 	            0.0000179 	        27923.0877987 
81 	     40.000 	            0.0014501 	            0.0000179 	        27923.2111693 
82 	     40.500 	            0.0014679 	            0.0000179 	        27923.3314948 
83 	     41.000 	            0.0014858 	            0.0000179 	        27923.4488865 
84 	     41.500 	            0.0015039 	            0.0000180 	        27921.6847204 
85 	     42.000 	            0.0015216 	            0.0000178 	        27923.6752875 
86 	     42.500 	            0.0015397 	            0.0000180 	        27921.9499376 
87 	     43.000 	            0.0015575 	            0.0000179 	        27922.0779221 
88 	     43.500 	            0.0015754 	            0.0000178 	        27923.9953781 
89 	     44.000 	            0.0015933 	            0.0000180 	        27922.3251682 
90 	     44.500 	            0.0016111 	            0.0000178 	        27924.1967871 
91 	     45.000 	            0.0016291 	            0.0000180 	        27922.5614296 
92 	     45.500 	            0.0016471 	            0.0000179 	        27922.6756674 
93 	     46.000 	            0.0016650 	            0.0000179 	        27922.7874226 
94 	     46.500 	            0.0016829 	            0.0000179 	        27922.8967754 
95 	     47.000 	            0.0017008 	            0.0000179 	        27923.0038023 
96 	     47.500 	            0.0017186 	            0.0000179 	        27923.1085768 
97 	     48.000 	            0.0017365 	            0.0000179 	        27923.2111693 
98 	     48.500 	            0.0017544 	            0.0000179 	        27923.3116472 
99 	     49.000 	            0.0017724 	            0.0000179 	        27923.4100752 
100 	     49.500 	            0.0017903 	            0.0000179 	        27923.5065155 
101 	     50.000 	            0.0018082 	            0.0000179 	        27923.6010276 
102 	     50.500 	            0.0018261 	            0.0000179 	        27923.6936688 
103 	     51.000 	            0.0018440 	            0.0000179 	        27923.7844941 
104 	     51.500 	            0.0018620 	            0.0000180 	        27922.3595749 
105 	     52.000 	            0.0018797 	            0.0000178 	        27923.9609065 
106 	     52.500 	            0.0018976 	            0.0000179 	        27924.0465933 
107 	     53.000 	            0.0019157 	            0.0000180 	        27922.6595016 
108 	     53.500 	            0.0019336 	            0.0000179 	        27922.7557411 
109 	     54.000 	            0.0019514 	            0.0000179 	        27922.8501991 
110 	     54.500 	            0.0019693 	            0.0000179 	        27922.9429245 
111 	     55.000 	            0.0019873 	            0.0000179 	        27923.0339646 
112 	     55.500 	            0.0020051 	            0.0000179 	        27923.1233649 
113 	     56.000 	            0.0020231 	            0.0000179 	        27923.2111693 
