# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000136 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000315 	            0.0000179 	        27887.6434083 
3 	      1.000 	            0.0000494 	            0.0000179 	        27930.4921765 
4 	      1.500 	            0.0000673 	            0.0000179 	        27913.6326195 
5 	      2.000 	            0.0000852 	            0.0000179 	        27930.4977002 
6 	      2.500 	            0.0001031 	            0.0000179 	        27918.5703135 
7 	      3.000 	            0.0001210 	            0.0000179 	        27921.9287932 
8 	      3.500 	            0.0001389 	            0.0000179 	        27924.5560332 
9 	      4.000 	            0.0001568 	            0.0000179 	        27926.1793289 
10 	      4.500 	            0.0001747 	            0.0000179 	        27920.2055283 
11 	      5.000 	            0.0001926 	            0.0000179 	        27923.1485298 
12 	      5.500 	            0.0002105 	            0.0000179 	        27922.6745954 
13 	      6.000 	            0.0002284 	            0.0000179 	        27926.9210896 
14 	      6.500 	            0.0002463 	            0.0000179 	        27923.4531972 
15 	      7.000 	            0.0002642 	            0.0000179 	        27922.8817247 
16 	      7.500 	            0.0002822 	            0.0000179 	        27922.8538861 
17 	      8.000 	            0.0003000 	            0.0000179 	        27925.8620958 
18 	      8.500 	            0.0003179 	            0.0000179 	        27924.9821200 
19 	      9.000 	            0.0003358 	            0.0000179 	        27925.1826291 
20 	      9.500 	            0.0003538 	            0.0000179 	        27924.9299887 
21 	     10.000 	            0.0003716 	            0.0000179 	        27926.7464968 
22 	     10.500 	            0.0003896 	            0.0000179 	        27924.7233962 
23 	     11.000 	            0.0004075 	            0.0000179 	        27925.6161608 
24 	     11.500 	            0.0004254 	            0.0000179 	        27925.6994888 
25 	     12.000 	            0.0004433 	            0.0000179 	        27924.8755226 
26 	     12.500 	            0.0004612 	            0.0000179 	        27925.4105145 
27 	     13.000 	            0.0004791 	            0.0000179 	        27925.4037052 
28 	     13.500 	            0.0004970 	            0.0000179 	        27923.8039812 
29 	     14.000 	            0.0005149 	            0.0000179 	        27924.4197858 
30 	     14.500 	            0.0005328 	            0.0000179 	        27925.4716095 
31 	     15.000 	            0.0005507 	            0.0000179 	        27926.1569220 
32 	     15.500 	            0.0005686 	            0.0000179 	        27925.4902790 
33 	     16.000 	            0.0005865 	            0.0000179 	        27925.2504943 
34 	     16.500 	            0.0006044 	            0.0000179 	        27924.6103251 
35 	     17.000 	            0.0006223 	            0.0000179 	        27925.3469066 
36 	     17.500 	            0.0006402 	            0.0000179 	        27924.7847146 
37 	     18.000 	            0.0006581 	            0.0000179 	        27925.1823185 
38 	     18.500 	            0.0006761 	            0.0000179 	        27923.8939167 
39 	     19.000 	            0.0006939 	            0.0000179 	        27925.4876516 
40 	     19.500 	            0.0007119 	            0.0000179 	        27924.6413119 
41 	     20.000 	            0.0007298 	            0.0000179 	        27923.8736151 
42 	     20.500 	            0.0007477 	            0.0000179 	        27924.8927031 
43 	     21.000 	            0.0007656 	            0.0000179 	        27925.2401588 
44 	     21.500 	            0.0007835 	            0.0000179 	        27925.6697108 
45 	     22.000 	            0.0008014 	            0.0000179 	        27924.5928968 
46 	     22.500 	            0.0008193 	            0.0000179 	        27925.2433064 
47 	     23.000 	            0.0008372 	            0.0000179 	        27925.4844326 
48 	     23.500 	            0.0008551 	            0.0000179 	        27924.4014974 
49 	     24.000 	            0.0008730 	            0.0000179 	        27924.7721733 
50 	     24.500 	            0.0008909 	            0.0000179 	        27924.3922318 
51 	     25.000 	            0.0009088 	            0.0000179 	        27924.5308659 
52 	     25.500 	            0.0009267 	            0.0000179 	        27924.4680484 
53 	     26.000 	            0.0009447 	            0.0000179 	        27923.9371406 
54 	     26.500 	            0.0009626 	            0.0000179 	        27923.4749124 
55 	     27.000 	            0.0009804 	            0.0000179 	        27925.0134387 
56 	     27.500 	            0.0009984 	            0.0000179 	        27924.0018818 
57 	     28.000 	            0.0010163 	            0.0000179 	        27924.7182777 
58 	     28.500 	            0.0010342 	            0.0000179 	        27924.0401648 
59 	     29.000 	            0.0010521 	            0.0000179 	        27924.5048169 
60 	     29.500 	            0.0010700 	            0.0000179 	        27924.5047418 
61 	     30.000 	            0.0010878 	            0.0000179 	        27925.3589085 
62 	     30.500 	            0.0011058 	            0.0000179 	        27924.7412925 
63 	     31.000 	            0.0011237 	            0.0000179 	        27924.6798607 
64 	     31.500 	            0.0011416 	            0.0000179 	        27924.2688504 
65 	     32.000 	            0.0011595 	            0.0000179 	        27923.9343425 
66 	     32.500 	            0.0011774 	            0.0000179 	        27924.2408740 
67 	     33.000 	            0.0011953 	            0.0000179 	        27924.2252053 
68 	     33.500 	            0.0012132 	            0.0000179 	        27924.5356610 
69 	     34.000 	            0.0012311 	            0.0000179 	        27924.2669682 
70 	     34.500 	            0.0012490 	            0.0000179 	        27924.0567469 
71 	     35.000 	            0.0012670 	            0.0000179 	        27923.9961439 
72 	     35.500 	            0.0012849 	            0.0000179 	        27923.8000158 
73 	     36.000 	            0.0013027 	            0.0000179 	        27924.6101972 
74 	     36.500 	            0.0013207 	            0.0000179 	        27924.3236004 
75 	     37.000 	            0.0013386 	            0.0000179 	        27924.2282286 
76 	     37.500 	            0.0013565 	            0.0000179 	        27924.2951495 
77 	     38.000 	            0.0013744 	            0.0000179 	        27924.2197131 
78 	     38.500 	            0.0013923 	            0.0000179 	        27924.1767444 
79 	     39.000 	            0.0014102 	            0.0000179 	        27923.6772048 
80 	     39.500 	            0.0014281 	            0.0000179 	        27923.8358293 
81 	     40.000 	            0.0014460 	            0.0000179 	        27923.9661250 
82 	     40.500 	            0.0014639 	            0.0000179 	        27924.1727152 
83 	     41.000 	            0.0014818 	            0.0000179 	        27923.9194552 
84 	     41.500 	            0.0014997 	            0.0000179 	        27923.9098368 
85 	     42.000 	            0.0015176 	            0.0000179 	        27924.1485336 
